Guidance Class,Resolution Action
WORKFLOW_XID_13,"Repeat TPC and GPC, diff SMs: RUN_DCGMEUD (possible HW issue); if pass RUN_FIELDDIAGS
Repeat TPC and GPC, single SM: RUN_DCGMEUD (possible HW issue); if pass RUN_FIELDDIAGS
Solo, no burst: CHECK_APP/CUDA
Not Repeat TPC and GPC: CHECK_APP/CUDA
Non-prod environment: CHECK_APP/CUDA
If known good APP and Solo: REPORT_ISSUE"
WORKFLOW_XID_31,"Multiple runs needed to establish pattern
Repeat MMU faults to same GPU (via PCI-ID): RUN_DCGMEUD (possible HW issue); if pass RUN_FIELDDIAGS
Repeat MMU faults to diff GPU (via PCI-ID): CHECK_APP/CUDA
Solo, no burst: CHECK_APP/CUDA
If known good APP: REPORT_ISSUE"
"Solo: RESTART_FM
Not Solo: IGNORE (follow other Xid)","Solo: RESTART_FM
Not Solo: IGNORE (follow other Xid)"
INVESTIGATE_SW,"There is a problem with either user or NVIDIA software that needs to be investigated further. In many cases the user software may be making calls to illegal 
areas, poorly structured commands or other issues. 
This may also be a problem with NVIDIA software in which case an issue should be reported. 
In many cases there may be a PID that could be tracked back to the offending, originating entity."
IGNORE (sympathetic),This is a sympathetic error that is expected to be seen with other conditions. Resolution for the other errors should be undertaken first. If this error was seen independently or all other resolutions aren't suffficient then REPORT_ISSUE.
XID_137_FLOW,"This event is logged when a fault is reported by the remote MMU, such as when an illegal NVLink peer-to-peer access is made by an applicable unit on the chip. 
Typically these are application-level bugs.
When this event is logged, NVIDIA recommends the following:
• Run the application in cuda-gdb or cuda-memcheck
• Note: The cuda-memcheck tool instruments the running application and reports which line of code performed the illegal read.
or
• Run the application with CUDA_DEVICE_WAITS_ON_EXCEPTION=1 and then attach later with cuda-gdb
File a bug if the previous two come back inconclusive to eliminate other possible causes."
INVESTIGATE_LINK_SI,Refer to GB200 Resiliency Service Flow for appropriate Access or Trunk link telemetry and investigation methods.
N/A Informational only regarding another Xid,Other issues need to be addressed. This Xid in informational only and is always expected to be seen with another Xid requiring a recovery action.
INVESTIGATE_SW_USER,Investigate SW or user initiated if unexpected
SYMPATHETIC_REPORT_SOLO,"This is a sympathetic error that is expected to be seen with other conditions. Resolution for the other errors should be undertaken first. If this error was seen 
independently or all other resolutions aren't suffficient then REPORT_ISSUE."
XID_154_EVAL,"If an XID 154 is seen along with this error, take that action. 
If no XID 154 present, RESTART_APP"
CHECK_NVLINK_FAILURE_FLOW,"Check telemetry to see if the any link went down in the partition within that last 30 seconds. If so, this Xid can be ignored as it was likely a by-product of the 
other conditions which should be investigated. 

If no link down indication is present, REPORT_ISSUE."
REPORT_ISSUE (if seen >1 per day),REPORT_ISSUE (if seen >1 per day)
INVESTIGATE_SW_USER_LINK_SI,"Investigate software or user intervention if not expected; additionally, follow INVESTGATE_LINK_SI if needed"
INVESTIGATE_PEER_DEVICE,"A peer device experience the issue as decoded in the Xid144-150 table (Xid 149 in particular). Based upon the note column:
Received_TS1: will be seen when peer link down reason is unknown
Peer_side_down_to_sleep_state: investigate peer software and users if unexpected
Peer_side_down_to_disable_state: investigate peer software and users if unexpected
Peer_side_down_to_disable_and_port_lock: investigate peer software and users if unexpected
Peer_side_down_due_to_thermal_event: check switch cooling
Peer_side_down_due_to_force_event: investigate peer software and users if unexpected
Peer_side_down_due_to_reset_event: investigate peer software and users if unexpected"
INVESTIGATE_HOST,Check other logs as this is likely a secondary indicator of some action or fault (may be OOB).
INVESTIGATE_LINK_SI_AND_CABLES,"A more general fault that could be cable, temperature, transceiver or seating condition. Refer to GB200 Resiliency Service Flow for appropriate Access or Trunk 
link telemetry and investigation methods."
INVESTIGATE_SW_USER,Investigate SW or user initiated if unexpected
