Type (XID),Code,Mnemonic,Description,Applies to A100,Applies to H100,Applies to B100,Applies to GB200,Resolution Bucket (Immediate Action),Resolution Bucket (Investigatory Action),Xid 154 linkage,Trigger Conditions
XID,13,"ROBUST_CHANNEL_GR_EXCEPTION /
ROBUST_CHANNEL_GR_ERROR_SW_NOTIFY",Graphics Engine Exception,YES,YES,YES,YES,RESTART_APP,WORKFLOW_XID_13,,"This event is logged for general user application faults. Typically this is an out-of-bounds error where the user has walked past the end of an array, but could also be an illegal instruction, illegal register, or other case.

In rare cases, it’s possible for a hardware failure or system software bugs to materialize as XID 13.

When this event is logged, NVIDIA recommends the following:
1. Run the application in cuda-gdb or the Compute Sanitizer memcheck tool , or
2. Run the application with CUDA_DEVICE_WAITS_ON_EXCEPTION=1 and then attach later with cuda-gdb, or
3. File a bug if the previous two come back inconclusive to eliminate potential NVIDIA driver or hardware bug.

NOTE: The Compute Sanitizer memcheck tool instruments the running application and reports which line of code performed the illegal read."
XID,14,ROBUST_CHANNEL_FAKE_ERROR,Unused,YES,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,Fake or injected error from userspace
XID,15,ROBUST_CHANNEL_SCANLINE_TIMEOUT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,16,ROBUST_CHANNEL_VBLANK_CALLBACK_TIMEOUT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,CONTACT_SUPPORT,,N/A; Unused
XID,17,ROBUST_CHANNEL_PARAMETER_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,18,ROBUST_CHANNEL_BUS_MASTER_TIMEOUT_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,19,ROBUST_CHANNEL_DISP_MISSED_NOTIFIER,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,20,ROBUST_CHANNEL_MPEG_ERROR_SW_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,21,ROBUST_CHANNEL_ME_ERROR_SW_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,22,ROBUST_CHANNEL_VP_ERROR_SW_METHOD,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,23,ROBUST_CHANNEL_RC_LOGGING_ENABLED,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,24,ROBUST_CHANNEL_GR_SEMAPHORE_TIMEOUT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,25,ROBUST_CHANNEL_GR_ILLEGAL_NOTIFY,Invalid or illegal push buffer stream,YES,YES,YES,YES,RESTART_APP,CHECK_APP/CUDA,,
XID,26,ROBUST_CHANNEL_FIFO_ERROR_FBISTATE_TIMEOUT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,27,ROBUST_CHANNEL_VP_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,28,ROBUST_CHANNEL_VP2_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,29,ROBUST_CHANNEL_BSP_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,30,ROBUST_CHANNEL_BAD_ADDR_ACCESS,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,31,ROBUST_CHANNEL_FIFO_ERROR_MMU_ERR_FLT,GPU memory page fault,YES,YES,YES,YES,RESTART_APP,WORKFLOW_XID_31,,"This event is logged when a fault is reported by the MMU, such as when an illegal address access is made by an applicable unit on the chip. Typically these are application-level bugs, but can also be driver bugs or hardware bugs. 

When this event is logged, NVIDIA recommends the following: 
1. Run the application in cuda-gdb or the Compute Sanitizer memcheck tool, or 
2. Run the application with CUDA_DEVICE_WAITS_ON_EXCEPTION=1 and then attach later with cuda-gdb, or 
3. File a bug if the previous two come back inconclusive to eliminate potential NVIDIA driver or hardware bug. 

NOTE: The Compute Sanitizer memcheck tool instruments the running application and reports which line of code performed the illegal read."
XID,32,ROBUST_CHANNEL_PBDMA_ERROR,Invalid or corrupted push buffer stream,YES,YES,YES,YES,RESTART_APP,CHECK_APP/CUDA,,"This event is logged when a fault is reported by the DMA controller which manages the communication stream between the NVIDIA driver and the GPU over the PCI-E bus. These failures primarily involve quality issues on PCI, and are generally not caused by user application actions."
XID,33,ROBUST_CHANNEL_SEC_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,34,ROBUST_CHANNEL_MSVLD_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,35,ROBUST_CHANNEL_MSPDEC_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,36,ROBUST_CHANNEL_MSPPP_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,37,ROBUST_CHANNEL_FECS_ERR_UNIMP_FIRMWARE_METHOD,Driver firmware error,YES,YES,YES,YES,IGNORE,CHECK_APP/CUDA,,
XID,38,ROBUST_CHANNEL_FECS_ERR_WATCHDOG_TIMEOUT,Driver firmware error,YES,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,
XID,39,ROBUST_CHANNEL_CE0_ERROR,Copy Engine Exception,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,40,ROBUST_CHANNEL_CE1_ERROR,Copy Engine Exception,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,41,ROBUST_CHANNEL_CE2_ERROR,Copy Engine Exception,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,42,ROBUST_CHANNEL_VIC_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,43,ROBUST_CHANNEL_RESETCHANNEL_VERIF_ERROR,GPU stopped processing,YES,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,"This event is logged when a user application hits a software induced fault and must terminate. The GPU remains in a healthy state.

In most cases, this is not indicative of a driver bug but rather a user application error."
XID,44,ROBUST_CHANNEL_GR_FAULT_DURING_CTXSW,Graphics Engine fault during context switch,YES,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,
XID,45,ROBUST_CHANNEL_PREEMPTIVE_REMOVAL,"Preemptive cleanup, due to previous errors -- Most likely to see when running multiple cuda applications and hitting a DBE",YES,YES,YES,YES,WORKFLOW_XID_45,"Solo: RESTART_FM
Not Solo: IGNORE (follow other Xid)",,"This event is logged when the user application aborts and the kernel driver tears down the GPU application running on the GPU. Control-C, GPU resets, sigkill are all examples where the application is aborted and this event is created.

In many cases, this is not indicative of a bug but rather a user or system action."
XID,46,ROBUST_CHANNEL_GPU_TIMEOUT_ERROR,GPU stopped processing,YES,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,,
XID,47,ROBUST_CHANNEL_NVENC0_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,48,ROBUST_CHANNEL_GPU_ECC_DBE,Double Bit ECC Error,YES,YES,YES,YES,WORKFLOW_XID_48,WORKFLOW_XID_48,CUDA 12.7; GPU driver R565,"This event is logged when the GPU detects that an uncorrectable error occurs on the GPU. This is also reported back to the user application. A GPU reset or node reboot is needed to clear this error.

The tool nvidia-smi can provide a summary of ECC errors.

If the ECC error is reported for SRAM (excludes ""framebuffer""), check for SRAM DBE thresholds and follow RMA flow if exceeded - (nvidia-smi <sram_threshold_exceeded> or NSM Msg Type 0x3, Cmd Code 0x7D, bit 0). If flag is set, run field diag."
XID,49,SILENT_RUNNING_CONSTANT_LEVEL_SET_BY_REGISTRY,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,50,SILENT_RUNNING_LEVEL_TRANSITION_DUE_TO_RC_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,51,SILENT_RUNNING_STRESS_TEST_FAILURE,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,52,SILENT_RUNNING_LEVEL_TRANS_DUE_TO_TEMP_RISE,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,53,SILENT_RUNNING_TEMP_REDUCED_CLOCKING,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,54,SILENT_RUNNING_PWR_REDUCED_CLOCKING,Auxiliary power is not connected to the GPU board,YES,YES,YES,NO,CHECK_MECHANICALS,CONTACT_SUPPORT,,
XID,55,SILENT_RUNNING_TEMPERATURE_READ_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,56,DISPLAY_CHANNEL_EXCEPTION,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,57,FB_LINK_TRAINING_FAILURE_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,58,FB_MEMORY_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,59,PMU_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,60,ROBUST_CHANNEL_SEC2_ERROR,Video processor exception,YES,YES,YES,YES,RESTART_APP,INVESTIGATE_SW,,
XID,61,PMU_BREAKPOINT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,62,PMU_HALT_ERROR,"Internal micro-controller halt
(newer drivers)",YES,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,CUDA 12.7; GPU driver R565,
XID,63,INFOROM_DRAM_RETIREMENT_EVENT,GPU memory remapping event,YES,YES,YES,YES,IGNORE,IGNORE,CUDA 12.7; GPU driver R565,"These events are logged when the GPU handles ECC memory errors on the GPU.

On GPUs that support row remapping, starting with NVIDIA® Ampere archtecture GPUs, these events provide details on row remapper activity. For more information row remapper Xids, refer to https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/index.html#row-remapping.

On earlier GPUs that support dynamic page retirement, these events provide details on dynamic page retirement activity. For more information on dynamic page retirement Xids, refer to https://docs.nvidia.com/deploy/dynamic-page-retirement/index.html."
XID,64,INFOROM_DRAM_RETIREMENT_FAILURE,GPU memory remapping failure,YES,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,CUDA 12.7; GPU driver R565,"These events are logged when the GPU handles ECC memory errors on the GPU. 

On GPUs that support row remapping, starting with NVIDIA® Ampere archtecture GPUs, these events provide details on row remapper activity. For more information row remapper Xids, refer to https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/index.html#row-remapping. 

On earlier GPUs that support dynamic page retirement, these events provide details on dynamic page retirement activity. For more information on dynamic page retirement Xids, refer to https://docs.nvidia.com/deploy/dynamic-page-retirement/index.html."
XID,65,ROBUST_CHANNEL_NVENC1_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,66,ROBUST_CHANNEL_FECS_ERR_REG_ACCESS_VIOLATION,Illegal access by driver,YES,YES,YES,YES,IGNORE,INVESTIGATE_SW,,
XID,67,ROBUST_CHANNEL_FECS_ERR_VERIF_VIOLATION,Illegal access by driver,YES,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,
XID,68,ROBUST_CHANNEL_NVDEC0_ERROR,NVDEC0 Exception,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,69,ROBUST_CHANNEL_GR_CLASS_ERROR,Graphics Engine class error,YES,YES,YES,YES,RESTART_APP,CHECK_APP/CUDA,,
XID,70,ROBUST_CHANNEL_CE3_ERROR,CE3: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,71,ROBUST_CHANNEL_CE4_ERROR,CE4: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,72,ROBUST_CHANNEL_CE5_ERROR,CE5: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,73,ROBUST_CHANNEL_NVENC2_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,74,NVLINK_ERROR,NVLINK Error,YES,YES,NO,NO,WORKFLOW_NVLINK_ERR,CONTACT_SUPPORT,CUDA 12.7; GPU driver R565,"This event is logged when the GPU detects that a problem with a connection from the GPU to another GPU or NVSwitch over NVLink. A GPU reset or node reboot is needed to clear this error. 

This event may indicate a hardware failure with the link itself, or may indicate a problem with the device at the remote end of the link. For example, if a GPU fails, another GPU connected to it over NVLink may report an Xid 74 simply because the link went down as a result. 

The nvidia-smi nvlink command can provide additional details on NVLink errors, and connection information on the links. 

If this error is seen repeatedly and GPU reset or node reboot fails to clear the condition, contact your hardware vendor for support."
XID,75,ROBUST_CHANNEL_CE6_ERROR,CE6: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,76,ROBUST_CHANNEL_CE7_ERROR,CE7: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,77,ROBUST_CHANNEL_CE8_ERROR,CE8: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,78,VGPU_START_ERROR,vGPU Start Error,YES,YES,YES,YES,UPDATE_SWFW,UPDATE_SWFW,,
XID,79,ROBUST_CHANNEL_GPU_HAS_FALLEN_OFF_THE_BUS,GPU has fallen off the bus,YES,YES,YES,YES,RESTART_BM,CONTACT_SUPPORT,CUDA 12.7; GPU driver R565,"This event is logged when the GPU driver attempts to access the GPU over its PCI Express connection and finds that the GPU is not accessible.

This event is often caused by hardware failures on the PCI Express link causing the GPU to be inaccessible due to the link being brought down. Reviewing system event logs and kernel PCI event logs may provide additional indications of the source of the link failures.

This event may also be cause by failing GPU hardware or other driver issues."
XID,80,PBDMA_PUSHBUFFER_CRC_MISMATCH,Corrupted data sent to GPU,YES,YES,NO,NO,RESTART_APP,CHECK_APP/CUDA,,
XID,81,ROBUST_CHANNEL_VGA_SUBSYSTEM_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,82,ROBUST_CHANNEL_NVJPG0_ERROR,NVJPG0 Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,83,ROBUST_CHANNEL_NVDEC1_ERROR,NVDEC1 Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,84,ROBUST_CHANNEL_NVDEC2_ERROR,NVDEC2 Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,85,ROBUST_CHANNEL_CE9_ERROR,CE9: Unknown Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,86,ROBUST_CHANNEL_OFA0_ERROR,OFA Exception,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,87,NVTELEMETRY_DRIVER_REPORT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,88,ROBUST_CHANNEL_NVDEC3_ERROR,NVDEC3 Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,89,ROBUST_CHANNEL_NVDEC4_ERROR,NVDEC4 Error,YES,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,90,LTC_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,91,RESERVED_XID,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,92,EXCESSIVE_SBE_INTERRUPTS,High single-bit ECC error rate,YES,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,
XID,93,INFOROM_ERASE_LIMIT_EXCEEDED,Non-fatal violation of provisioned InfoROM wear limit,YES,NO,NO,NO,IGNORE,CONTACT_SUPPORT,,"This event is logged when the GPU driver fails to update the InfoROM due to violation of the provisioned InfoROM wear limit that was set for the GPU using NVFlash using nvflash --=elsessionstart.

In most cases this is not indicative of a driver or flash failure, but rather the intentional use of the InfoROM wear protection feature as set by NVFlash.

Recovery steps:
The GPU can be recovered from Xid 93 by clearing InfoROM erase limit using ./nvflash –-elsessionclear. If clearing the limit using nvflash doesn’t help, report the issue to NVIDIA."
XID,94,ROBUST_CHANNEL_CONTAINED_ERROR,Contained memory error,YES,YES,YES,YES,RESTART_APP,IGNORE (sympathetic),CUDA 12.7; GPU driver R565,"These events (94/95) are logged when GPU drivers handle errors in GPUs that support error containment, starting with NVIDIA A100 GPUs.

For Xid 94, these errors are contained to one application, and the application that encountered this error must be restarted. All other applications running at the time of the Xid are unaffected. It is recommended to reset the GPU when convenient. Applications can continue to be run until the reset can be performed.

One possible cause of containment errors is the handling of ECC memory errors. Review the NVIDIA GPU Memory Error Management manual: https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/index.html#row-remapping for coverage of ECC-triggered containment errors.

Xid 45 will be seen in relation to this error."
XID,95,ROBUST_CHANNEL_UNCONTAINED_ERROR,Uncontained memory error,YES,YES,YES,YES,RESET_GPU,IGNORE (sympathetic),CUDA 12.7; GPU driver R565,"These events (94/95) are logged when GPU drivers handle errors in GPUs that support error containment, starting with NVIDIA® A100 GPUs.

For Xid 95, these errors affect multiple applications, and the affected GPU must be reset before applications can restart. Refer https://docs.nvidia.com/deploy/gpu-debug-guidelines/index.html for GPU Reset capabilities & limitations

One possible cause of containment errors is the handling of ECC memory errors. Review the NVIDIA GPU Memory Error Management manual: https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/index.html#row-remapping for coverage of ECC-triggered containment errors.

Xid 45 will be seen in relation to this error."
XID,96,ROBUST_CHANNEL_NVDEC5_ERROR,NVDEC5 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,97,ROBUST_CHANNEL_NVDEC6_ERROR,NVDEC6 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,98,ROBUST_CHANNEL_NVDEC7_ERROR,NVDEC7 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,99,ROBUST_CHANNEL_NVJPG1_ERROR,NVJPG1 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,100,ROBUST_CHANNEL_NVJPG2_ERROR,NVJPG2 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,101,ROBUST_CHANNEL_NVJPG3_ERROR,NVJPG3 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,102,ROBUST_CHANNEL_NVJPG4_ERROR,NVJPG4 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,103,ROBUST_CHANNEL_NVJPG5_ERROR,NVJPG5 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,104,ROBUST_CHANNEL_NVJPG6_ERROR,NVJPG6 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,105,ROBUST_CHANNEL_NVJPG7_ERROR,NVJPG7 Error,NO,YES,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,106,SMBPBI_TEST_MESSAGE,SMBPBI Test Message,YES,YES,YES,YES,IGNORE,IGNORE,,
XID,107,SMBPBI_TEST_MESSAGE_SILENT,SMBPBI Test Message Silent,YES,YES,YES,YES,IGNORE,IGNORE,,
XID,108,NVLINK_REMOTE_TRANSLATION_ERROR,Unused,YES,YES,YES,YES,IGNORE,XID_137_FLOW,,N/A; Unused
XID,109,ROBUST_CHANNEL_CTXSW_TIMEOUT_ERROR,Context Switch Timeout Error,YES,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,CUDA 12.7; GPU driver R570,
XID,110,SEC_FAULT_ERROR,Security Fault Error,NO,YES,YES,YES,RESET_GPU,INVESTIGATE_SW,CUDA 12.7; GPU driver R565,"This event should be uncommon unless there is a hardware failure. To recover, revert any recent system hardware modifications and cold reset the system. If this fails to correct the issue, contact your hardware vendor for assistance."
XID,111,BUNDLE_ERROR_EVENT,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,112,DISP_SUPERVISOR_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,113,DP_LT_FAILURE,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,114,HEAD_RG_UNDERFLOW,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,115,CORE_CHANNEL_REGS,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,116,WINDOW_CHANNEL_REGS,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,117,CURSOR_CHANNEL_REGS,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,118,HEAD_REGS,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,119,GSP_RPC_TIMEOUT,GSP RPC Timeout,YES,YES,YES,YES,RESET_GPU,INVESTIGATE_SW,,"These events (119/120) may be logged when an error occurs in code running on the GSP core of the GPU and/or a timeout occurs while waiting for the GSP core of the GPU to respond to an RPC message. A GPU reset or node power cycle may be needed if the error persists. If this problem reoccurs after a power cycle, follow the NVIDIA GPU Debug Guidelines document for additional debugging steps."
XID,120,GSP_ERROR,GSP Error,YES,YES,YES,YES,RESET_GPU,INVESTIGATE_SW,CUDA 12.7; GPU driver R565,"These events (119/120) may be logged when an error occurs in code running on the GSP core of the GPU and/or a timeout occurs while waiting for the GSP core of the GPU to respond to an RPC message. A GPU reset or node power cycle may be needed if the error persists. If this problem reoccurs after a power cycle, follow the NVIDIA GPU Debug Guidelines document for additional debugging steps."
XID,121,C2C_ERROR,C2C Error,NO,NO,NO,YES,IGNORE,CONTACT_SUPPORT,,"This event may occur when the GPU driver has observed corrected errors on the C2C NVLink connection to a Grace CPU. These errors are corrected by the system and have no operational impact. Resetting the GPU at an available service window will allow the GPU to retrain the link.
NOTE: repeat errors may be reported; VBIOS 97.00.90.00.00 may provide some relief from that condition"
XID,122,SPI_PMU_RPC_READ_FAIL,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,123,SPI_PMU_RPC_WRITE_FAIL,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,124,SPI_PMU_RPC_ERASE_FAIL,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,125,INFOROM_FS_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,126,ROBUST_CHANNEL_CE10_ERROR,CE10: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,127,ROBUST_CHANNEL_CE11_ERROR,CE11: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,128,ROBUST_CHANNEL_CE12_ERROR,CE12: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,129,ROBUST_CHANNEL_CE13_ERROR,CE13: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,130,ROBUST_CHANNEL_CE14_ERROR,CE14: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,131,ROBUST_CHANNEL_CE15_ERROR,CE15: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,132,ROBUST_CHANNEL_CE16_ERROR,CE16: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,133,ROBUST_CHANNEL_CE17_ERROR,CE17: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,134,ROBUST_CHANNEL_CE18_ERROR,CE18: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,135,ROBUST_CHANNEL_CE19_ERROR,CE19: Unknown Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,136,ALI_TRAINING_FAIL,Link Training Failed,NO,YES,NO,NO,RESET_GPU,INVESTIGATE_LINK_SI,CUDA 12.7; GPU driver R565,
XID,137,NVLINK_PRIV_ERR,NVLink Privilege Error,YES,YES,YES,YES,IGNORE,XID_137_FLOW,,"This event is logged when a fault is reported by the remote MMU, such as when an illegal NVLink peer-to-peer access is made by an applicable unit on the chip. Typically these are application-level bugs, but can also be driver bugs or hardware bugs.

When this event is logged, NVIDIA recommends the following: #. Run the application in cuda-gdb or the Compute Sanitizer memcheck tool , or #. Run the application with CUDA_DEVICE_WAITS_ON_EXCEPTION=1 and then attach later with cuda-gdb, or #. File a bug if the previous two come back inconclusive to eliminate potential NVIDIA driver or hardware bug."
XID,138,ROBUST_CHANNEL_DLA_ERROR,Unused,NO,NO,NO,NO,CONTACT_SUPPORT,,,N/A; Unused
XID,139,ROBUST_CHANNEL_OFA1_ERROR,OFA1 Error,NO,NO,YES,YES,RESTART_APP,CONTACT_SUPPORT,,
XID,140,UNRECOVERABLE_ECC_ERROR_ESCAPE,ECC Unrecovered Error,YES,YES,YES,YES,RESET_GPU,CONTACT_SUPPORT,,"This event may occur when the GPU driver has observed uncorrectable errors in GPU memory, in such a way as to interrupt the GPU driver’s ability to mark the pages for dynamic page offlining or row remapping. Reset the GPU, and if the problem persists, contact your hardware vendor for support."
XID,141,ROBUST_CHANNEL_FAST_PATH_ERROR,CUDA Fast Path Error,NO,YES,YES,YES,IGNORE,CONTACT_SUPPORT,,
