Xid,Subcode V1(<R575)/V2(>=R575) V1(<R575): IntrInfo[9:5] V2(>=R575):IntrInfo[6:0],"(V1(<R575)) IntrInfo decode for Data Center Recovery Action IntrInfo (binary; ""-"" user decode)","(V2(>=R575)) IntrInfo decode for Data Center Recovery Action IntrInfo (binary; ""-"" user decode)",Error Status (hex),Resolution Bucket (Data Center Recovery Action),(V1(<R575)) Decode for action 2,(V2(>=R575)) Decode for action 2,Action 2,Resolution Bucket (Investigatory Action),Severity (for items with '*' please see Customer User Guide tab),HW/SW,Local/Remote (for items with '*' please see Customer User Guide tab)
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000008,XID_154_EVAL,,,,CHECK_NVLINK_FAILURE_FLOW,Non-fatal,SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000010,XID_154_EVAL,,,,CHECK_NVLINK_FAILURE_FLOW,Non-fatal,SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000020,XID_154_EVAL,,,,CHECK_NVLINK_FAILURE_FLOW,Non-fatal,SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000040,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000080,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000100,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x00000200,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_REMAP,------000000----------0010000010,------000000-------------0000100,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
145,RLW_RSPCOL,------000000----------0010100010,------000000-------------0000101,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_RSPCOL,------000000----------0010100010,------000000-------------0000101,0x00000002,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_RSPCOL,------000000----------0010100010,------000000-------------0000101,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
145,RLW_RXPIPE,------000000---------00011000010,------000000------------00000110,0x00000001,IGNORE,------000000---------10011000010,------000000------------10000110,RESET_GPU,CONTACT_SUPPORT,Non-fatal*,SW,"Local: none; 
Remote: PacketLoss***"
145,RLW_RXPIPE,------000000---------00011000010,------000000------------00000110,0x00000002,IGNORE,------000000---------10011000010,------000000------------10000110,RESET_GPU,CONTACT_SUPPORT,Non-fatal*,SW,"Local: none; 
Remote: PacketLoss***"
145,RLW_RXPIPE,------000000---------00011000010,------000000------------00000110,0x00000004,IGNORE,------000000---------10011000010,------000000------------10000110,RESET_GPU,CONTACT_SUPPORT,Non-fatal*,SW,"Local: PacketLoss***; 
Remote: none"
145,RLW_RXPIPE,------000000----------0011000010,------000000-------------0000110,0x00000008,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW/SW,"Local: none; 
Remote: none"
145,RLW_RXPIPE,------000000----------0011000010,------000000-------------0000110,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x00000001,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x00000002,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x00000004,XID_154_EVAL,,,,IGNORE,Non-fatal,HW/SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x00000008,XID_154_EVAL,,,,IGNORE,Non-fatal,HW/SW,"Local: XC/AppCrash (Xid 45); 
Remote: none"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x00000010,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x00000020,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_SRC_TRACK,------000000----------0011100010,------000000-------------0000111,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
145,RLW_TAGSTATE,------000000----------0100000010,------000000-------------0001000,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_TAGSTATE,------000000----------0100000010,------000000-------------0001000,0x00000002,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_TAGSTATE,------000000----------0100000010,------000000-------------0001000,0x00010000,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
145,RLW_TAGSTATE,------000000----------0100000010,------000000-------------0001000,0x00020000,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_TAGSTATE,------000000----------0100000010,------000000-------------0001000,0x00100000,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: Xid 48, AppCrash (Xid 45);
Remote: PacketLoss***(possible)"
145,RLW_TAGSTATE,------000000----------0100000010,------000000-------------0001000,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
146,TLW_CTRL,------000000----------0100100011,------000000-------------0001001,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
146,TLW_CTRL,------000000----------0100100011,------000000-------------0001001,0x00000002,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: XID 48; 
Remote: Will lead to poison or Xid94****"
146,TLW_CTRL,------000000----------0100100011,------000000-------------0001001,0x00000004,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: XID 48, PacketLoss***(possible); 
Remote: PacketLoss***(possible)"
146,TLW_CTRL,------000000----------0100100011,------000000-------------0001001,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
146,TLW_RX/TLW_RX_PIPE0,------000000----------0101000011,------000000-------------0001010,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
146,TLW_RX/TLW_RX_PIPE0,------000000----------0101000011,------000000-------------0001010,0x00000002,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: Will lead to Xid 48. Will lead to poison or Xid94/95****; 
Remote: none"
146,TLW_RX/TLW_RX_PIPE0,------000000----------0101000011,------000000-------------0001010,0x00000004,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: XID 48, PacketLoss***(possible); 
Remote: PacketLoss***(possible)"
146,TLW_RX/TLW_RX_PIPE0,------000000----------0101000011,------000000-------------0001010,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
146,TLW_RX/TLW_RX_PIPE1,------000000----------0101000011,------000000-------------0001011,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
146,TLW_RX/TLW_RX_PIPE1,------000000----------0101000011,------000000-------------0001011,0x00000002,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: Will lead to Xid 48. Will lead to poison or Xid94/95****; 
Remote: none"
146,TLW_RX/TLW_RX_PIPE1,------000000----------0101000011,------000000-------------0001011,0x00000004,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: XID 48, PacketLoss***(possible); 
Remote: PacketLoss***(possible)"
146,TLW_RX/TLW_RX_PIPE1,------000000----------0101000011,------000000-------------0001011,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
146,TLW_TX/TLW_TX_PIPE0,------000000----------0101100011,------000000-------------0001100,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
146,TLW_TX/TLW_TX_PIPE0,------000000----------0101100011,------000000-------------0001100,0x00000002,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: Will lead to Xid 48. Will lead to poison or Xid94/95****; 
Remote: none"
146,TLW_TX/TLW_TX_PIPE0,------000000----------0101100011,------000000-------------0001100,0x00000004,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: XID 48, PacketLoss***(possible); 
Remote: PacketLoss***(possible)"
146,TLW_TX/TLW_TX_PIPE0,------000000----------0101100011,------000000-------------0001100,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
146,TLW_TX/TLW_TX_PIPE1,------000000----------0101100011,------000000-------------0001101,0x00000001,IGNORE,,,,IGNORE,Non-fatal,HW,"Local: none; 
Remote: none"
146,TLW_TX/TLW_TX_PIPE1,------000000----------0101100011,------000000-------------0001101,0x00000002,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,HW,"Local: Will lead to Xid 48. Will lead to poison or Xid94/95****; 
Remote: none"
146,TLW_TX/TLW_TX_PIPE1,------000000----------0101100011,------000000-------------0001101,0x00000004,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,HW,"Local: XID 48, PacketLoss***(possible); 
Remote: PacketLoss***(possible)"
146,TLW_TX/TLW_TX_PIPE1,------000000----------0101100011,------000000-------------0001101,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
147,TREX,------000000----------0110000100,------000000-------------0001110,0x00000001,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"NOTE: not in production code, so should not be experienced"
147,TREX,------000000----------0110000100,------000000-------------0001110,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
148,NVLPW_CTRL/NVLPW,------000000----------0000000101,------000000-------------0001111,0x80000000,IGNORE,,,,CONTACT_SUPPORT,Non-fatal,SW,"Local: none; 
Remote: none"
149,NETIR/NETIR_INT,------000000----------0000000110,------000000-------------0011000,,RESET_GPU,,,,SYMPATHETIC_REPORT_SOLO,Link Fatal,HW/SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------000000----------0111000110,------000000-------------0010001,,RESET_GPU,,,,SYMPATHETIC_REPORT_SOLO,Link Fatal,HW/SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------000001----------0111000110,------000001-------------0010001,,RESET_GPU,,,,REPORT_ISSUE (if seen >1 per day),Link Fatal,HW/SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------000010----------0111000110,------000010-------------0010001,,RESET_GPU,,,,INVESTIGATE_LINK_SI,Link Fatal,HW/SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------000100----------0111000110,------000100-------------0010001,,RESET_GPU,,,,INVESTIGATE_LINK_SI,Link Fatal,HW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------001010----------0111000110,------001010-------------0010001,,RESET_GPU,,,,INVESTIGATE_LINK_SI,Link Fatal,HW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------001111----------0111000110,------001111-------------0010001,,RESET_GPU,,,,INVESTIGATE_SW_USER,Link Fatal,SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------010000----------0111000110,------010000-------------0010001,,RESET_GPU,,,,INVESTIGATE_SW_USER_LINK_SI,Link Fatal,SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------010001----------0111000110,------010001-------------0010001,,RESET_GPU,,,,INVESTIGATE_SW_USER,Link Fatal,SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------010010----------0111000110,------010010-------------0010001,,RESET_GPU,,,,INVESTIGATE_SW_USER_LINK_SI,Link Fatal,SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------010101----------0111000110,------010101-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW/SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------010110----------0111000110,------010110-------------0010001,,RESET_GPU,,,,INVESTIGATE_SW_USER,Link Fatal,SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100000----------0111000110,------100000-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW/SW,"Local: PacketLoss***(posible/delayed); 
Remote: PacketLoss*** (possible/delayed)
Other end of link: source of link fatal"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100001----------0111000110,------100001-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW/SW,"Local: PacketLoss***(posible/delayed); 
Remote: PacketLoss*** (possible/delayed)
Other end of link: source of link fatal"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100010----------0111000110,------100010-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW/SW,"Local: PacketLoss***(posible/delayed); 
Remote: PacketLoss*** (possible/delayed)
Other end of link: source of link fatal"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100011----------0111000110,------100011-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW,"Local: PacketLoss***(posible/delayed); 
Remote: PacketLoss*** (possible/delayed)
Other end of link: source of link fatal"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100100----------0111000110,------100100-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW/SW,"Local: PacketLoss***(posible/delayed); 
Remote: PacketLoss*** (possible/delayed)
Other end of link: source of link fatal"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100101----------0111000110,------100101-------------0010001,,RESET_GPU,,,,INVESTIGATE_PEER_DEVICE,Link Fatal,HW/SW,"Local: PacketLoss***(posible/delayed); 
Remote: PacketLoss*** (possible/delayed)
Other end of link: source of link fatal"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------100110----------0111000110,------100110-------------0010001,,IGNORE,,,,INVESTIGATE_SW/USER,Link Fatal,HW/SW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------101000----------0111000110,------101000-------------0010001,,IGNORE,,,,INVESTIGATE_HOST,Fatal,SW,"Local: fatal; 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------101010----------0111000110,------101010-------------0010001,,RESET_GPU,,,,INVESTIGATE_LINK_SI_AND_CABLES,Link Fatal?,HW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_LINK_EVT/NETIR_LINK_DOWN,------101011----------0111000110,------101011-------------0010001,,RESET_GPU,,,,INVESTIGATE_LINK_SI_AND_CABLES,Link Fatal?,HW,"Local: PacketLoss***(possible/delayed); 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_BER_EVENT,------000000----------1000100110,------000000-------------0010011,0x00000000,IGNORE,,,,INVESTIGATE_LINK_SI_AND_CABLES,Non-fatal,HW,"Local: none; 
Remote: none"
149,NETIR_BER_EVENT,------000000----------1000100110,------000000-------------0010011,0x00000001,IGNORE,,,,INVESTIGATE_LINK_SI_AND_CABLES,Non-fatal,HW,"Local: none; 
Remote: none"
149,NETIR_BER_EVENT,------000000----------1000100110,------000000-------------0010011,0x00000002,IGNORE,,,,INVESTIGATE_LINK_SI_AND_CABLES,Non-fatal,HW,"Local: none; 
Remote: none"
149,NETIR_BER_EVENT,------000000----------1000100110,------000000-------------0010011,0x00000003,IGNORE,,,,INVESTIGATE_LINK_SI_AND_CABLES,Non-fatal,HW,"Local: none; 
Remote: none"
149,NETIR_MFDE_EVENT,------000000----------1001000110,------000000-------------0010100,0x00000001,RESET_GPU,,,,CONTACT_SUPPORT,Fatal**,HW/SW,"Local: fatal; 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_MFDE_EVENT,------000000----------1001000110,------000000-------------0010100,0x00000003,IGNORE,,,,IGNORE,Non-fatal,NA,"Local: none; 
Remote: none"
149,NETIR_MFDE_EVENT,------000000----------1001000110,------000000-------------0010100,0x00000004,RESET_GPU,,,,CONTACT_SUPPORT,Fatal**,HW/SW,"Local: fatal; 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_MFDE_EVENT,------000000----------1001000110,------000000-------------0010100,0x00000005,RESET_GPU,,,,CONTACT_SUPPORT,Fatal**,HW/SW,"Local: fatal; 
Remote: PacketLoss***(possible/delayed)"
149,NETIR_MFDE_EVENT,------000000----------1001000110,------000000-------------0010100,0x00000007,RESET_GPU,,,,CONTACT_SUPPORT,Fatal**,HW/SW,"Local: fatal; 
Remote: PacketLoss***(possible/delayed)"
150,MSE Degraded,------000000----------0000000000,------000000-------------0000000,0x00000000/0xFFFFFFFF,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,FW,"Local: Fatal; 
Remote: None"
150,MSE_WATCHDOG,------000000----------0000000000,------000000-------------0000000,0x00000000,RESET_GPU,,,,CONTACT_SUPPORT,Fatal,FW,"Local: Fatal; 
Remote: None"
